Iniciando BruteForce:{
	Grafo:Mumbai-network-osm-2019-1_2
	Threads: 8
	Raio: 250
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T4): 10.00%	ODs: 125/10000(001%)	Tempo: 118.89537
Progresso (T4): 50.00%	ODs: 4250/10000(043%)	Tempo: 672.83005
Progresso (T7): 50.00%	ODs: 4375/10000(044%)	Tempo: 673.81013
Progresso (T6): 50.00%	ODs: 4500/10000(045%)	Tempo: 688.06810
Progresso (T3): 50.00%	ODs: 4625/10000(046%)	Tempo: 714.69395
Progresso (T1): 50.00%	ODs: 4750/10000(048%)	Tempo: 717.84744
Progresso (T8): 50.00%	ODs: 4875/10000(049%)	Tempo: 748.91292
Progresso (T5): 50.00%	ODs: 5000/10000(050%)	Tempo: 781.87086
Progresso (T2): 60.00%	ODs: 5125/10000(051%)	Tempo: 788.37025
Progresso (T6): 60.00%	ODs: 5250/10000(053%)	Tempo: 825.36545
Progresso (T3): 60.00%	ODs: 5375/10000(054%)	Tempo: 833.34374
Progresso (T7): 60.00%	ODs: 5500/10000(055%)	Tempo: 846.83458
Progresso (T4): 60.00%	ODs: 5625/10000(056%)	Tempo: 852.20101
Progresso (T1): 60.00%	ODs: 5750/10000(058%)	Tempo: 861.30238
Progresso (T8): 60.00%	ODs: 5875/10000(059%)	Tempo: 876.80257
Progresso (T5): 60.00%	ODs: 6000/10000(060%)	Tempo: 903.68279
Progresso (T2): 70.00%	ODs: 6125/10000(061%)	Tempo: 933.65078
Progresso (T3): 70.00%	ODs: 6250/10000(063%)	Tempo: 946.35419
Progresso (T4): 70.00%	ODs: 6375/10000(064%)	Tempo: 968.79345
Progresso (T1): 70.00%	ODs: 6500/10000(065%)	Tempo: 989.07517
Progresso (T7): 70.00%	ODs: 6625/10000(066%)	Tempo: 992.54281
Progresso (T8): 70.00%	ODs: 6750/10000(068%)	Tempo: 1008.40701
Progresso (T6): 70.00%	ODs: 6875/10000(069%)	Tempo: 1019.63576
Progresso (T2): 80.00%	ODs: 7000/10000(070%)	Tempo: 1061.66384
Progresso (T5): 70.00%	ODs: 7125/10000(071%)	Tempo: 1067.04353
Progresso (T4): 80.00%	ODs: 7250/10000(073%)	Tempo: 1088.82298
Progresso (T3): 80.00%	ODs: 7375/10000(074%)	Tempo: 1094.90398
Progresso (T1): 80.00%	ODs: 7500/10000(075%)	Tempo: 1121.25979
Progresso (T8): 80.00%	ODs: 7625/10000(076%)	Tempo: 1136.24550
Progresso (T7): 80.00%	ODs: 7750/10000(078%)	Tempo: 1184.78524
Progresso (T6): 80.00%	ODs: 7875/10000(079%)	Tempo: 1186.90451
Progresso (T2): 90.00%	ODs: 8000/10000(080%)	Tempo: 1194.17824
Progresso (T5): 80.00%	ODs: 8125/10000(081%)	Tempo: 1213.40868
Progresso (T3): 90.00%	ODs: 8250/10000(083%)	Tempo: 1221.44832
Progresso (T4): 90.00%	ODs: 8375/10000(084%)	Tempo: 1228.75020
Progresso (T8): 90.00%	ODs: 8500/10000(085%)	Tempo: 1239.89503
Progresso (T1): 90.00%	ODs: 8625/10000(086%)	Tempo: 1295.26155
Progresso (T6): 90.00%	ODs: 8750/10000(088%)	Tempo: 1315.37989
Progresso (T2): 100.00%	ODs: 8875/10000(089%)	Tempo: 1332.12426
		Fim: T2
Progresso (T7): 90.00%	ODs: 9000/10000(090%)	Tempo: 1333.98617
Progresso (T4): 100.00%	ODs: 9125/10000(091%)	Tempo: 1341.77007
		Fim: T4
Progresso (T3): 100.00%	ODs: 9250/10000(093%)	Tempo: 1357.39203
		Fim: T3
Progresso (T5): 90.00%	ODs: 9375/10000(094%)	Tempo: 1374.64726
Progresso (T8): 100.00%	ODs: 9500/10000(095%)	Tempo: 1383.07669
		Fim: T8
Progresso (T1): 100.00%	ODs: 9625/10000(096%)	Tempo: 1417.00620
		Fim: T1
Progresso (T7): 100.00%	ODs: 9750/10000(098%)	Tempo: 1455.84050
		Fim: T7
Progresso (T6): 100.00%	ODs: 9875/10000(099%)	Tempo: 1462.26695
		Fim: T6
Progresso (T5): 100.00%	ODs: 10000/10000(100%)	Tempo: 1473.59971
		Fim: T5

Quantidade de rotas: 10000
Status: Found Qtd.: 10000
Tempo decorrido para BruteForce para 250 metros = 11223.0764079317
para o arquivo: Mumbai-network-osm-2019-1_2

