Iniciando Collapse:{
	Grafo:Fortaleza-network-osm-2019-1_1
	Threads: 8
	Raio: 200
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T7): 10.00%	ODs: 125/10000(001%)	Tempo: 12.02230
Progresso (T3): 100.00%	ODs: 9125/10000(091%)	Tempo: 127.91960
		Fim: T3
Progresso (T2): 100.00%	ODs: 9250/10000(093%)	Tempo: 130.89896
		Fim: T2
Progresso (T4): 100.00%	ODs: 9375/10000(094%)	Tempo: 132.46672
		Fim: T4
Progresso (T5): 100.00%	ODs: 9500/10000(095%)	Tempo: 133.20420
		Fim: T5
Progresso (T8): 100.00%	ODs: 9625/10000(096%)	Tempo: 134.13813
		Fim: T8
Progresso (T7): 100.00%	ODs: 9750/10000(098%)	Tempo: 134.49596
		Fim: T7
Progresso (T1): 100.00%	ODs: 9875/10000(099%)	Tempo: 134.55903
		Fim: T1
Progresso (T6): 100.00%	ODs: 10000/10000(100%)	Tempo: 136.08271
		Fim: T6

Quantidade de rotas: 10000
Status: Found Qtd.: 9993
Status: SourceAndTargetAreToCloseToCollapse Qtd.: 7
Tempo decorrido para Collapse para 200 metros = 1063.76532587333
para o arquivo: Fortaleza-network-osm-2019-1_1

